iter	RMSE
0	3.098921633
1	3.075223868
2	3.051621617
3	3.028695974
4	3.007949206
5	2.984800563
6	2.962995661
7	2.940875044
8	2.919531456
9	2.898626377
10	2.877460019
11	2.856628886
12	2.836256765
13	2.816085989
14	2.795690631
15	2.775953335
16	2.756777567
17	2.737340295
18	2.717769949
19	2.698816252
20	2.680297271
21	2.662130848
22	2.643762928
23	2.624911187
24	2.606696756
25	2.589225754
26	2.571609728
27	2.554072806
28	2.536853633
29	2.519702934
30	2.503565411
31	2.486883046
32	2.469976896
33	2.453498433
34	2.437415373
35	2.421682103
36	2.406683458
37	2.391371959
38	2.375906099
39	2.360984135
40	2.345679117
41	2.331138086
42	2.316626806
43	2.302420638
44	2.288854898
45	2.275117619
46	2.261531482
47	2.247590935
48	2.233865424
49	2.220640022
50	2.207562686
51	2.194717608
52	2.182119277
53	2.169141797
54	2.157589983
55	2.145120062
56	2.132674529
57	2.120839659
58	2.108470848
59	2.096666228
60	2.085004682
61	2.07325142
62	2.062242533
63	2.051208818
64	2.040217859
65	2.029128281
66	2.018087383
67	2.007253786
68	1.996838854
69	1.986758729
70	1.976458716
71	1.96613099
72	1.955648984
73	1.945563292
74	1.936009193
75	1.92603134
76	1.916918838
77	1.907578338
78	1.8983588
79	1.888905215
80	1.880553046
81	1.871100712
82	1.862027445
83	1.853650183
84	1.845148378
85	1.836604132
86	1.828396767
87	1.820435766
88	1.812335496
89	1.803852005
90	1.795644853
91	1.787607441
92	1.780175637
93	1.772015761
94	1.764386705
95	1.756972916
96	1.749689911
97	1.742361287
98	1.735214818
99	1.728107118
100	1.721145451
101	1.714605119
102	1.707806917
103	1.701121822
104	1.694992429
105	1.688371908
106	1.681798551
107	1.675354993
108	1.669043211
109	1.66270701
110	1.656508527
111	1.650566392
112	1.644414487
113	1.638634227
114	1.633273508
115	1.627418846
116	1.621804207
117	1.616653947
118	1.611547004
119	1.606391911
120	1.601264277
121	1.596012964
122	1.590924251
123	1.58626495
124	1.581392734
125	1.5763114
126	1.571635728
127	1.567131068
128	1.562990561
129	1.558240174
130	1.553730616
131	1.549223572
132	1.544917483
133	1.540447676
134	1.536278444
135	1.532132446
136	1.528076565
137	1.524095603
138	1.519823717
139	1.515672184
140	1.511732665
141	1.50780032
142	1.50381772
143	1.500295021
144	1.496726515
145	1.493183391
146	1.489399945
147	1.485802981
148	1.48235866
149	1.478888707
150	1.475592053
151	1.47219905
152	1.469098933
153	1.465912156
154	1.462942928
155	1.459735046
156	1.456850733
157	1.453741744
158	1.450588269
159	1.447689395
160	1.444894965
161	1.442252257
162	1.43941299
163	1.436710491
164	1.433889166
165	1.431234886
166	1.42858568
167	1.425931951
168	1.423551573
169	1.420981266
170	1.418379675
171	1.415658503
172	1.413113055
173	1.410600391
174	1.408149995
175	1.405854983
176	1.403572008
177	1.401371282
178	1.399274878
179	1.397345237
180	1.395094392
181	1.393047575
182	1.391028493
183	1.388878473
184	1.386976915
185	1.384892285
186	1.382911754
187	1.38080433
188	1.379029707
189	1.377044574
190	1.375163959
191	1.373271469
192	1.371527834
193	1.36968119
194	1.367930142
195	1.366130642
196	1.36448373
197	1.362689499
198	1.361113795
199	1.359464561
200	1.357869703
201	1.356257507
202	1.354690698
203	1.353206649
204	1.351975747
205	1.350506696
206	1.349046414
207	1.347497225
208	1.346131858
209	1.34484292
210	1.343590942
211	1.342274204
212	1.34085098
213	1.339614201
214	1.338287231
215	1.337002028
216	1.335804496
217	1.334513032
218	1.333223679
219	1.33195607
220	1.330785193
221	1.329569775
222	1.328417655
223	1.327254963
224	1.326091289
225	1.324873346
226	1.323663587
227	1.322628945
228	1.321513546
229	1.320396247
230	1.31941745
231	1.318326222
232	1.31724768
233	1.316292595
234	1.31530071
235	1.314312242
236	1.313312769
237	1.312440829
238	1.311541675
239	1.310554013
240	1.309632783
241	1.30876308
242	1.307824354
243	1.307011434
244	1.306248615
245	1.305311631
246	1.304514284
247	1.303675434
248	1.302880253
249	1.30208337
250	1.30128683
251	1.300579037
252	1.299833753
253	1.299223492
254	1.298402714
255	1.297798397
256	1.297110145
257	1.296356673
258	1.295629507
259	1.294958599
260	1.294186823
261	1.293438519
262	1.292731381
263	1.292079491
264	1.291343157
265	1.290797368
266	1.290067183
267	1.289446619
268	1.288704936
269	1.288026289
270	1.287484775
271	1.286998309
272	1.286267255
273	1.285615101
274	1.285010562
275	1.284542854
276	1.284061952
277	1.283433805
278	1.282853413
279	1.282218584
280	1.281660552
281	1.281173713
282	1.280601497
283	1.280052419
284	1.279577496
285	1.279001746
286	1.278440753
287	1.27787594
288	1.277418272
289	1.276854029
290	1.276407398
291	1.275978625
292	1.275432195
293	1.275007605
294	1.274490867
295	1.273987886
296	1.273416178
297	1.272960038
298	1.272559619
299	1.272095022
300	1.271618235
301	1.271177901
302	1.27067622
303	1.270138101
304	1.26966927
305	1.269322597
306	1.268699981
307	1.268225323
308	1.267824716
309	1.267464627
310	1.26707446
311	1.266587922
312	1.266193164
313	1.26579657
314	1.265454917
315	1.264921037
316	1.264460308
317	1.26403289
318	1.263698626
319	1.263318327
320	1.262891853
321	1.262511196
322	1.26219899
323	1.261844589
324	1.261514853
325	1.261144064
326	1.260832014
327	1.260456374
328	1.260136641
329	1.25983826
330	1.259561256
331	1.259250248
332	1.258940744
333	1.258695942
334	1.258405513
335	1.258071098
336	1.257785408
337	1.257423561
338	1.257176282
339	1.256737721
340	1.256443083
341	1.256182354
342	1.255784674
343	1.255528848
344	1.255231108
345	1.254998072
346	1.254564517
347	1.254284917
348	1.254010275
349	1.253665473
350	1.253337719
351	1.253064062
352	1.252782987
353	1.252460077
354	1.252055624
355	1.251659951
356	1.251390997
357	1.25113658
358	1.250767063
359	1.250466413
360	1.25014147
361	1.249988228
362	1.249593526
363	1.249274375
364	1.248930517
365	1.248652961
366	1.248354213
367	1.248095241
368	1.247829247
369	1.24762886
370	1.247384548
371	1.247081916
372	1.246620256
373	1.246251597
374	1.245904081
375	1.245719544
376	1.245369362
377	1.245070185
378	1.244896839
379	1.24469626
380	1.244443288
