iter	Passed	Remaining
0	58	58081
1	58	29327
2	59	19747
3	60	14948
4	60	12079
5	61	10151
6	61	8782
7	62	7750
8	63	6951
9	63	6309
10	64	5779
11	64	5338
12	65	4977
13	66	4661
14	66	4386
15	67	4143
16	68	3932
17	68	3748
18	69	3579
19	69	3428
20	70	3287
21	71	3164
22	71	3051
23	72	2949
24	73	2853
25	74	2772
26	74	2690
27	75	2611
28	75	2537
29	76	2471
30	76	2404
31	77	2341
32	77	2284
33	78	2234
34	79	2181
35	79	2132
36	80	2087
37	80	2043
38	81	2000
39	81	1962
40	82	1923
41	82	1887
42	83	1852
43	83	1818
44	84	1786
45	84	1756
46	85	1729
47	85	1701
48	86	1676
49	86	1649
50	87	1629
51	88	1607
52	88	1586
53	89	1566
54	90	1547
55	90	1526
56	91	1505
57	91	1487
58	92	1468
59	92	1452
60	93	1433
61	93	1415
62	94	1398
63	94	1382
64	94	1365
65	95	1349
66	95	1334
67	96	1318
68	96	1303
69	97	1289
70	97	1277
71	98	1264
72	98	1251
73	99	1239
74	99	1228
75	100	1216
76	100	1204
77	101	1195
78	101	1184
79	102	1174
80	102	1163
81	103	1154
82	103	1145
83	104	1138
84	104	1128
85	105	1120
86	105	1112
87	106	1102
88	106	1093
89	107	1085
90	107	1077
91	108	1069
92	108	1060
93	109	1052
94	109	1045
95	110	1038
96	110	1030
97	111	1023
98	111	1015
99	112	1008
100	112	1002
101	113	995
102	113	988
103	114	983
104	114	976
105	115	969
106	115	963
107	115	957
108	116	951
109	116	945
110	117	939
111	117	934
112	118	928
113	118	922
114	120	924
115	120	918
116	121	913
117	121	908
118	121	902
119	122	898
120	123	894
121	123	890
122	124	884
123	124	880
124	125	876
125	125	871
126	126	867
127	126	862
128	127	858
129	127	853
130	128	850
131	128	846
132	129	842
133	129	837
134	130	833
135	130	829
136	131	826
137	131	821
138	131	817
139	132	813
140	133	810
141	133	806
142	133	802
143	134	798
144	134	795
145	135	791
146	135	787
147	136	784
148	136	781
149	137	779
150	138	776
151	138	773
152	139	769
153	139	766
154	139	763
155	140	759
156	140	756
157	141	753
158	141	750
159	142	747
160	142	744
161	143	741
162	143	738
163	144	735
164	144	732
165	145	729
166	145	726
167	146	723
168	146	721
169	147	718
170	147	716
171	148	713
172	148	710
173	149	708
174	149	705
175	150	703
176	150	700
177	151	697
178	151	695
179	152	692
180	152	690
181	153	688
182	153	685
183	153	682
184	154	681
185	155	678
186	155	676
187	155	673
188	156	671
189	157	670
190	157	667
191	158	665
192	158	663
193	159	661
194	159	658
195	160	656
196	160	654
197	161	652
198	161	649
199	161	647
200	162	645
201	162	643
202	163	641
203	163	639
204	164	637
205	164	634
206	165	633
207	165	631
208	166	628
209	166	626
210	167	625
211	168	625
212	168	623
213	169	622
214	169	620
215	170	618
216	170	616
217	171	614
218	171	612
219	172	610
220	172	608
221	173	607
222	173	605
223	174	603
224	174	601
225	175	600
226	175	598
227	176	596
228	176	594
229	177	593
230	177	591
231	178	590
232	178	588
233	179	586
234	179	585
235	180	583
236	180	581
237	181	580
238	181	578
239	182	577
240	182	576
241	183	574
242	183	572
243	184	570
244	184	569
245	185	567
246	185	566
247	186	564
248	186	563
249	187	562
250	187	560
251	188	559
252	189	558
253	189	556
254	190	555
255	190	553
256	190	552
257	191	550
258	192	549
259	192	548
260	193	547
261	193	545
262	194	543
263	194	542
264	194	540
265	195	539
266	195	537
267	196	536
268	197	535
269	197	534
270	198	532
271	198	532
272	199	530
273	199	529
274	200	528
275	200	526
276	201	525
277	202	524
278	202	523
279	203	522
280	204	522
281	204	520
282	205	519
283	205	517
284	205	516
285	206	515
286	206	514
287	207	512
288	207	511
289	208	510
290	208	508
291	209	507
292	209	506
293	210	505
294	210	504
295	211	502
296	211	501
297	212	500
298	212	499
299	213	497
300	213	496
301	214	495
302	214	493
303	215	492
304	215	491
305	216	489
306	216	488
307	217	487
308	217	486
309	218	485
310	218	484
311	219	483
312	219	482
313	220	481
314	220	480
315	221	479
316	221	478
317	222	477
318	222	475
319	223	474
320	223	473
321	224	471
322	224	470
323	224	469
324	225	468
325	226	467
326	226	466
327	227	465
328	227	464
329	227	462
330	228	461
331	228	460
332	229	459
333	229	458
334	230	456
335	230	455
336	231	454
337	231	453
338	231	452
339	232	451
340	232	450
341	233	449
342	233	448
343	234	447
344	234	445
345	235	444
346	235	443
347	236	442
348	236	441
349	237	440
350	237	439
351	238	438
352	238	437
353	239	436
354	239	435
355	240	434
356	240	433
357	241	432
358	241	431
359	242	430
360	242	429
361	243	428
362	243	427
363	244	426
364	244	425
365	245	424
366	245	424
367	246	423
368	246	422
369	247	421
370	247	420
371	248	419
372	248	418
373	249	417
374	249	416
375	250	415
376	250	414
377	251	413
378	251	412
379	252	411
380	252	410
381	253	409
382	253	408
383	254	407
384	254	406
385	255	405
386	255	404
387	256	404
388	256	403
389	257	402
390	258	402
391	258	401
392	259	400
393	259	399
394	260	398
395	260	397
396	261	396
397	261	395
398	262	394
399	262	393
400	263	392
401	263	392
402	264	391
403	264	390
404	264	389
405	265	388
406	265	387
407	266	386
408	266	385
409	267	384
410	267	383
411	268	383
412	268	382
413	269	381
414	269	380
415	270	379
416	270	378
417	271	377
418	271	376
419	272	376
420	272	375
421	273	374
422	273	373
423	274	372
424	274	371
425	275	370
426	275	370
427	276	369
428	276	368
429	277	367
430	277	366
431	278	365
432	278	364
433	279	364
434	279	363
435	280	362
436	280	361
437	281	360
438	281	359
439	282	359
440	282	358
441	283	357
442	283	356
443	284	356
444	284	355
445	285	354
446	285	353
447	286	352
448	286	351
449	287	350
450	287	349
451	287	349
452	288	348
453	288	347
454	289	346
455	289	345
456	290	344
457	290	344
458	291	343
459	291	342
460	292	341
461	292	340
462	293	340
463	293	339
464	294	338
465	294	337
466	295	336
467	295	336
468	296	335
469	296	334
470	297	333
471	297	332
472	298	332
473	298	331
474	299	330
475	299	329
476	300	329
477	300	328
478	301	327
479	301	326
480	302	326
481	302	325
482	303	324
483	303	323
484	304	323
485	304	322
486	305	321
487	305	320
488	306	319
489	306	319
490	307	318
491	307	317
492	308	316
493	308	316
494	309	315
495	309	314
496	309	313
497	310	313
498	311	312
499	311	311
500	311	310
501	312	310
502	312	309
503	313	308
504	313	307
505	314	306
506	314	306
507	315	305
508	315	304
509	316	303
510	316	303
511	317	302
512	317	301
513	318	300
514	318	300
515	319	299
516	319	298
517	320	298
518	320	297
519	321	296
520	321	295
521	322	295
522	322	294
523	323	293
524	323	293
525	324	292
526	324	291
527	325	290
528	326	290
529	326	289
530	326	288
531	327	288
532	327	287
533	328	286
534	328	285
535	329	285
536	329	284
537	330	283
538	330	282
539	331	282
540	331	281
541	332	280
542	332	279
543	333	279
544	333	278
545	334	277
546	334	277
547	335	276
548	335	275
549	336	274
550	336	274
551	337	273
552	337	272
553	338	272
554	338	271
555	339	270
556	339	270
557	340	269
558	340	268
559	341	268
560	341	267
561	342	266
562	342	265
563	342	265
564	343	264
565	343	263
566	344	262
567	344	262
568	344	261
569	345	260
570	346	259
571	346	259
572	347	258
573	347	257
574	348	257
575	348	256
576	349	255
577	349	255
578	349	254
579	350	253
580	350	253
581	351	252
582	351	251
583	352	250
584	352	250
585	353	249
586	353	248
587	354	248
588	354	247
589	355	246
590	355	246
591	356	245
592	356	244
593	357	244
594	357	243
595	358	242
596	358	242
597	358	241
598	359	240
599	359	239
600	360	239
601	360	238
602	361	237
603	361	237
604	361	236
605	362	235
606	362	234
607	363	234
608	363	233
609	364	232
610	364	232
611	365	231
612	365	230
613	366	230
614	366	229
615	366	228
616	367	228
617	367	227
618	368	226
619	368	226
620	369	225
621	369	224
622	370	224
623	370	223
624	371	222
625	371	222
626	372	221
627	372	220
628	373	220
629	373	219
630	374	218
631	374	218
632	375	217
633	375	216
634	376	216
635	376	215
636	376	214
637	377	214
638	377	213
639	378	212
640	378	212
641	379	211
642	379	210
643	380	210
644	380	209
645	380	208
646	381	208
647	382	207
648	382	206
649	382	206
650	383	205
651	383	204
652	384	204
653	384	203
654	385	202
655	385	202
656	386	201
657	386	200
658	387	200
659	387	199
660	388	199
661	388	198
662	389	197
663	389	197
664	389	196
665	390	195
666	391	195
667	391	194
668	391	193
669	392	193
670	392	192
671	393	192
672	393	191
673	394	190
674	394	190
675	395	189
676	395	188
677	396	188
678	396	187
679	397	186
680	397	186
681	398	185
682	398	185
683	399	184
684	399	183
685	400	183
686	400	182
687	400	181
688	401	181
689	401	180
690	402	179
691	402	179
692	403	178
693	403	177
694	404	177
695	404	176
696	405	176
697	405	175
698	406	174
699	406	174
700	407	173
701	407	173
702	408	172
703	408	171
704	408	171
705	409	170
706	409	169
707	410	169
708	410	168
709	411	167
710	411	167
711	412	166
712	412	166
713	413	165
714	413	164
715	414	164
716	414	163
717	415	163
718	415	162
719	415	161
720	416	161
721	416	160
722	417	159
723	417	159
724	418	158
725	418	158
726	419	157
727	419	156
728	420	156
729	420	155
730	421	155
731	421	154
732	422	153
733	422	153
734	423	152
735	423	152
736	424	151
737	424	150
738	425	150
739	426	149
740	426	149
741	426	148
742	427	147
743	427	147
744	428	146
745	428	145
746	429	145
747	429	144
748	430	144
749	430	143
750	430	142
751	431	142
752	432	141
753	432	141
754	432	140
755	433	139
756	433	139
757	434	138
758	434	138
759	435	137
760	435	136
761	436	136
762	436	135
763	437	135
764	437	134
765	438	133
766	438	133
767	439	132
768	440	132
769	440	131
770	441	130
771	441	130
772	442	129
773	442	129
774	442	128
775	443	128
776	443	127
777	444	126
778	444	126
779	445	125
780	445	125
781	446	124
782	447	123
783	447	123
784	448	122
785	448	122
786	449	121
787	449	120
788	450	120
789	450	119
790	451	119
791	451	118
792	452	118
793	452	117
794	453	116
795	453	116
796	453	115
797	454	115
798	454	114
799	455	113
800	455	113
801	456	112
802	456	112
803	457	111
804	457	110
805	458	110
806	458	109
807	459	109
808	459	108
809	460	107
810	460	107
811	461	106
812	461	106
813	462	105
814	462	104
815	462	104
816	463	103
817	463	103
818	464	102
819	464	102
820	465	101
821	465	100
822	466	100
823	466	99
824	467	99
825	467	98
826	468	97
827	468	97
828	469	96
829	469	96
830	470	95
831	470	95
832	470	94
833	471	93
834	471	93
835	472	92
836	472	92
837	473	91
838	473	90
839	474	90
840	474	89
841	475	89
842	476	88
843	476	88
844	477	87
845	477	86
846	478	86
847	478	85
848	478	85
849	479	84
850	479	84
851	480	83
852	480	82
853	481	82
854	481	81
855	482	81
856	482	80
857	482	79
858	483	79
859	483	78
860	484	78
861	484	77
862	485	77
863	485	76
864	486	75
865	486	75
866	487	74
867	487	74
868	487	73
869	488	72
870	489	72
871	489	71
872	490	71
873	490	70
874	491	70
875	491	69
876	492	69
877	492	68
